tarikh,rows_read,rows_written,storage_bytes,pct_tertinggi
2026-09-09,627991252,0,887779328,125.6
2026-09-10,627991252,0,887779328,125.6
2026-09-11,627991252,0,887779328,125.6
2026-09-12,627991252,0,887779328,125.6
2026-09-13,627991252,0,887779328,125.6
2026-09-14,627991252,0,887779328,125.6
2026-09-15,627991252,0,887779328,125.6
2026-09-16,627991252,0,887779328,125.6
2026-09-17,627991252,0,887779328,125.6
2026-09-18,627991252,0,887779328,125.6
2026-09-19,627991252,0,887779328,125.6
2026-09-20,627991252,0,887779328,125.6
2026-09-21,627991252,0,887779328,125.6
2026-09-22,627991252,0,887779328,125.6
2026-09-23,627991252,0,887779328,125.6
